"object link","text"
"https://pec.ac.in/sites/default/files/uploads/events/mitigating_traffic_case_study_pec.pdf","Click here for the press release for 'A Case Study on Mitigating Traffic Congestion of Chandigarh - Nayagaon Stretch' conducted by ASCE PEC"
"https://pec.ac.in/sites/default/files/uploads/events/Data%20Science.pdf","Download Brochure: One Week Online FDP on Data Science from 4th to 8th May, 2020"
"https://pec.ac.in/sites/default/files/uploads/events/BlockChain.pdf","Download Brochure: One Week Online FDP on Blockchain Technology from 11th to 15th May, 2020"
"https://pec.ac.in/sites/default/files/uploads/minutes_62_bog.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_61_bog.PDF","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_60_bog.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_59_bog.PDF","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_86.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_85.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_84.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_83.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_82.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_81.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_80.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_79.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_73.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_72.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_71.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__69_13-12-16.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__68_14-10-16.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__67_3-6-16.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__66_4-3-16.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__65_22-12-15.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_64_22-9-15.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__63_5-8-15.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__62_8-6-15.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__61_19-5-15.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__60_19-2-15.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__59_27-11-14.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__58_17-7-14.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__57_17-6-14.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__56_30-4-14.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__55_20-12-13.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__54_17-9-13.pdf","Download Minutes"
